clients_count,epochs,batch_size,round,nmi,ari,test_accuracy
10,400,64,1,0.00997,-0.05028,0.30093
10,400,64,2,0.0,0.0,0.79938
10,400,64,3,0.0,0.0,0.79938
10,400,64,4,0.0,0.0,0.79938
10,400,64,5,0.0,0.0,0.79938
10,400,64,6,0.0,0.0,0.79938
10,400,64,7,0.0,0.0,0.79938
10,400,64,8,0.0,0.0,0.79938
10,400,64,9,0.0,0.0,0.79938
10,400,64,10,0.0,0.0,0.79938
10,400,64,11,0.0,0.0,0.79938
10,400,64,12,0.0,0.0,0.79938
10,400,64,13,0.0,0.0,0.79938
10,400,64,14,0.0,0.0,0.79938
10,400,64,15,0.0,0.0,0.79938
10,400,64,16,0.0,0.0,0.79938
10,400,64,17,0.0,0.0,0.79938
10,400,64,18,0.0,0.0,0.79938
10,400,64,19,0.0,0.0,0.79938
10,400,64,20,0.0,0.0,0.79938
10,400,64,21,0.0,0.0,0.79938
10,400,64,22,0.0,0.0,0.79938
10,400,64,23,0.0,0.0,0.79938
10,400,64,24,0.0,0.0,0.79938
10,400,64,25,0.0,0.0,0.79938
10,400,64,26,0.0,0.0,0.79938
10,400,64,27,0.0,0.0,0.79938
10,400,64,28,0.0,0.0,0.79938
10,400,64,29,0.0,0.0,0.79938
10,400,64,30,0.0,0.0,0.79938
10,400,64,31,0.0,0.0,0.79938
10,400,64,32,0.0,0.0,0.79938
10,400,64,33,0.0,0.0,0.79938
10,400,64,34,0.0,0.0,0.79938
10,400,64,35,0.0,0.0,0.79938
10,400,64,36,0.0,0.0,0.79938
10,400,64,37,0.0,0.0,0.79938
10,400,64,38,0.0,0.0,0.79938
10,400,64,39,0.0,0.0,0.79938
10,400,64,40,0.0,0.0,0.79938
10,400,64,41,0.0,0.0,0.79938
10,400,64,42,0.0,0.0,0.79938
10,400,64,43,0.0,0.0,0.79938
10,400,64,44,0.0,0.0,0.79938
10,400,64,45,0.0,0.0,0.79938
10,400,64,46,0.0,0.0,0.79938
10,400,64,47,0.0,0.0,0.79938
10,400,64,48,0.0,0.0,0.79938
10,400,64,49,0.0,0.0,0.79938
10,400,64,50,0.0,0.0,0.79938
10,400,64,51,0.0,0.0,0.79938
10,400,64,52,0.0,0.0,0.79938
10,400,64,53,0.0,0.0,0.79938
10,400,64,54,0.0,0.0,0.79938
10,400,64,55,0.0,0.0,0.79938
10,400,64,56,0.0,0.0,0.79938
10,400,64,57,0.0,0.0,0.79938
10,400,64,58,0.0,0.0,0.79938
10,400,64,59,0.0,0.0,0.79938
10,400,64,60,0.0,0.0,0.79938
10,400,64,61,0.0,0.0,0.79938
10,400,64,62,0.0,0.0,0.79938
10,400,64,63,0.0,0.0,0.79938
10,400,64,64,0.0,0.0,0.79938
10,400,64,65,0.0,0.0,0.79938
10,400,64,66,0.0,0.0,0.79938
10,400,64,67,0.0,0.0,0.79938
10,400,64,68,0.21921,0.31037,0.85185
10,400,64,69,0.28171,0.45956,0.87191
10,400,64,70,0.31188,0.49231,0.87191
10,400,64,71,0.34868,0.53393,0.8858
10,400,64,72,0.3319,0.51336,0.87809
10,400,64,73,0.35906,0.52634,0.87809
10,400,64,74,0.38709,0.54229,0.88117
10,400,64,75,0.36925,0.54592,0.8858
10,400,64,76,0.37623,0.539,0.88117
10,400,64,77,0.36998,0.55167,0.88889
10,400,64,78,0.3509,0.526,0.87963
10,400,64,79,0.37262,0.5344,0.87963
10,400,64,80,0.36136,0.53653,0.88272
10,400,64,81,0.38791,0.52032,0.87191
10,400,64,82,0.35862,0.53528,0.88272
10,400,64,83,0.36807,0.54244,0.88426
10,400,64,84,0.37784,0.54954,0.8858
10,400,64,85,0.40209,0.55366,0.88426
10,400,64,86,0.39273,0.57115,0.89352
10,400,64,87,0.37979,0.53662,0.87963
10,400,64,88,0.38319,0.56622,0.89352
10,400,64,89,0.38585,0.56508,0.89198
10,400,64,90,0.39459,0.57485,0.89506
10,400,64,91,0.41694,0.57252,0.89043
10,400,64,92,0.34818,0.52472,0.87963
10,400,64,93,0.36282,0.54894,0.89198
10,400,64,94,0.43038,0.59864,0.89969
10,400,64,95,0.39907,0.57978,0.8966
10,400,64,96,0.38983,0.56382,0.89043
10,400,64,97,0.41711,0.60135,0.90432
10,400,64,98,0.39708,0.57605,0.89506
10,400,64,99,0.40675,0.5833,0.8966
10,400,64,100,0.40694,0.59114,0.90123
10,400,64,101,0.42404,0.60771,0.90586
10,400,64,102,0.39012,0.57589,0.89815
10,400,64,103,0.41303,0.59478,0.90123
10,400,64,104,0.44941,0.62899,0.91049
10,400,64,105,0.44021,0.62336,0.91049
10,400,64,106,0.42404,0.60771,0.90586
10,400,64,107,0.44021,0.62336,0.91049
10,400,64,108,0.44431,0.62378,0.90895
10,400,64,109,0.42285,0.59935,0.90123
10,400,64,110,0.41812,0.60276,0.90586
10,400,64,111,0.44941,0.62899,0.91049
10,400,64,112,0.45256,0.63315,0.91204
10,400,64,113,0.4473,0.6298,0.91204
10,400,64,114,0.44431,0.62378,0.90895
10,400,64,115,0.41833,0.59434,0.89969
10,400,64,116,0.43353,0.61465,0.91049
10,400,64,117,0.43909,0.60864,0.90278
10,400,64,118,0.41985,0.59996,0.90741
10,400,64,119,0.47326,0.65345,0.91821
10,400,64,120,0.46595,0.64696,0.91667
10,400,64,121,0.46742,0.64805,0.91667
10,400,64,122,0.46532,0.64483,0.91512
10,400,64,123,0.45794,0.63844,0.91358
10,400,64,124,0.45408,0.63112,0.91049
10,400,64,125,0.47278,0.65122,0.91667
10,400,64,126,0.45295,0.63511,0.91358
10,400,64,127,0.46162,0.63738,0.91204
10,400,64,128,0.4769,0.65673,0.91975
10,400,64,129,0.48592,0.663,0.91975
10,400,64,130,0.45159,0.63397,0.91358
10,400,64,131,0.44171,0.61969,0.90741
10,400,64,132,0.47326,0.65345,0.91821
10,400,64,133,0.47922,0.65889,0.91975
10,400,64,134,0.46595,0.64696,0.91667
10,400,64,135,0.47489,0.65224,0.91667
10,400,64,136,0.4546,0.63424,0.91204
10,400,64,137,0.45546,0.63699,0.91512
10,400,64,138,0.47478,0.65451,0.91821
10,400,64,139,0.47489,0.65224,0.91667
10,400,64,140,0.43184,0.6157,0.90895
10,400,64,141,0.46735,0.64588,0.91512
10,400,64,142,0.47922,0.65889,0.91975
10,400,64,143,0.46735,0.64588,0.91512
10,400,64,144,0.47601,0.65562,0.91975
10,400,64,145,0.46171,0.64268,0.91512
10,400,64,146,0.46905,0.64912,0.91667
10,400,64,147,0.47648,0.65556,0.91821
10,400,64,148,0.46055,0.63629,0.91667
10,400,64,149,0.45991,0.63952,0.91358
10,400,64,150,0.48224,0.66098,0.91975
10,400,64,151,0.48224,0.66098,0.91975
10,400,64,152,0.46905,0.64912,0.91667
10,400,64,153,0.46428,0.64161,0.91358
10,400,64,154,0.4842,0.6633,0.9213
10,400,64,155,0.46782,0.6418,0.91821
10,400,64,156,0.46742,0.64805,0.91667
10,400,64,157,0.46595,0.64696,0.91667
10,400,64,158,0.47326,0.65345,0.91821
10,400,64,159,0.45794,0.63844,0.91358
10,400,64,160,0.46174,0.64241,0.91667
10,400,64,161,0.47648,0.65556,0.91821
10,400,64,162,0.46742,0.64805,0.91667
10,400,64,163,0.47478,0.65451,0.91821
10,400,64,164,0.46953,0.64691,0.91512
10,400,64,165,0.45412,0.63459,0.91512
10,400,64,166,0.45613,0.63735,0.91358
10,400,64,167,0.46171,0.64268,0.91512
10,400,64,168,0.46742,0.64805,0.91667
10,400,64,169,0.48064,0.65994,0.91975
10,400,64,170,0.45295,0.63511,0.91358
10,400,64,171,0.49362,0.66942,0.9213
10,400,64,172,0.45913,0.63635,0.91204
10,400,64,173,0.45873,0.64046,0.91512
10,400,64,174,0.47489,0.65224,0.91667
10,400,64,175,0.45913,0.63635,0.91204
10,400,64,176,0.44846,0.63041,0.91358
10,400,64,177,0.43105,0.61407,0.90741
10,400,64,178,0.46968,0.65015,0.91821
10,400,64,179,0.49742,0.67391,0.92284
10,400,64,180,0.51233,0.67914,0.92747
10,400,64,181,0.48533,0.66436,0.9213
10,400,64,182,0.46742,0.64805,0.91667
10,400,64,183,0.49905,0.67644,0.92438
10,400,64,184,0.47434,0.651,0.91975
10,400,64,185,0.45873,0.64046,0.91512
10,400,64,186,0.46202,0.64057,0.91358
10,400,64,187,0.43471,0.61811,0.90895
10,400,64,188,0.46817,0.64786,0.91821
10,400,64,189,0.50355,0.67457,0.92593
10,400,64,190,0.48854,0.66444,0.92284
10,400,64,191,0.4753,0.65449,0.91975
10,400,64,192,0.4769,0.65673,0.91975
10,400,64,193,0.50355,0.67457,0.92593
10,400,64,194,0.46171,0.64268,0.91512
10,400,64,195,0.4753,0.65449,0.91975
10,400,64,196,0.46171,0.64268,0.91512
10,400,64,197,0.496,0.67225,0.92438
10,400,64,198,0.49058,0.66882,0.92284
10,400,64,199,0.51804,0.68816,0.92901
10,400,64,200,0.46465,0.64585,0.91667
10,400,64,201,0.46742,0.64805,0.91667
10,400,64,202,0.45295,0.63511,0.91358
10,400,64,203,0.49575,0.67115,0.92438
10,400,64,204,0.51038,0.68457,0.92747
10,400,64,205,0.4753,0.65449,0.91975
10,400,64,206,0.48664,0.66541,0.9213
10,400,64,207,0.50313,0.67569,0.92593
10,400,64,208,0.48035,0.6576,0.91821
10,400,64,209,0.51864,0.68709,0.92901
10,400,64,210,0.5066,0.68301,0.92593
10,400,64,211,0.51306,0.68861,0.92747
10,400,64,212,0.52531,0.69799,0.93056
10,400,64,213,0.51884,0.69328,0.92901
10,400,64,214,0.48326,0.66222,0.9213
10,400,64,215,0.48157,0.65888,0.9213
10,400,64,216,0.5003,0.67745,0.92438
10,400,64,217,0.52539,0.69496,0.93056
10,400,64,218,0.45991,0.63952,0.91358
10,400,64,219,0.50303,0.67787,0.92593
10,400,64,220,0.50303,0.67787,0.92593
10,400,64,221,0.49575,0.67115,0.92438
10,400,64,222,0.48916,0.66667,0.92284
10,400,64,223,0.48977,0.66775,0.92284
10,400,64,224,0.49158,0.66987,0.92284
10,400,64,225,0.48533,0.66436,0.9213
10,400,64,226,0.47922,0.65889,0.91975
10,400,64,227,0.50332,0.67893,0.92593
10,400,64,228,0.46171,0.64268,0.91512
10,400,64,229,0.46368,0.63098,0.90895
